agreement_all,kappa_all,agreement_test,test_c0,test_c1,test_c2,MLP_acc,MLP_macro_f1,GCN_acc,GCN_macro_f1,mlp_beats_gcn,kind,config,w_curitiba_dep,w_to_curitiba,w_time_min,w_distance_km
1.0,1.0,1.0,43,39,5,0.9862068965517242,0.9835885697954664,0.9195402298850575,0.8257936507936507,True,weights,published (.4/.3/.2/.1),,,,
0.853448275862069,0.7296490372897879,0.8045977011494253,43,40,4,1.0,1.0,0.9011494252873563,0.8555776798230058,True,weights,equal (.25 each),,,,
0.8994252873563219,0.8098420033722601,0.8505747126436781,50,34,3,0.9839080459770114,0.9885506350102624,0.9057471264367816,0.9338631579776558,True,weights,swap top two,,,,
0.7787356321839081,0.5942581993277005,0.7586206896551724,47,36,4,0.9885057471264368,0.9582681272822118,0.8896551724137932,0.8045008810756888,True,weights,accessibility-heavy,,,,
0.5747126436781609,0.3901243339253996,0.5977011494252874,40,10,37,0.9770114942528736,0.957985230283556,0.8827586206896552,0.8345345299992355,True,weights,dependency only,,,,
0.5718390804597702,0.16205559146735615,0.5517241379310345,80,4,3,1.0,1.0,0.974712643678161,0.9238354357083697,True,weights,demand only,,,,
0.8333333333333334,0.6871279761904762,0.8045977011494253,54,30,3,0.9885057471264368,0.9914202543281754,0.8045977011494253,0.7501004562674378,True,random_weights,dirichlet_00,0.3949407129162019,0.5922363751276989,0.011504765988698002,0.0013181459674011687
0.7701149425287356,0.5506053268765133,0.7011494252873564,60,27,0,0.9471264367816092,0.9364511209091024,0.8942528735632184,0.8773824066711728,True,random_weights,dirichlet_01,0.1524847086420527,0.4516111766669403,0.18663110833286156,0.2092730063581455
0.8074712643678161,0.6356419552444055,0.7816091954022989,56,28,3,0.9885057471264368,0.9909895414320193,0.9540229885057471,0.9642978724829906,True,random_weights,dirichlet_02,0.23160063354908356,0.49807811517677786,0.27021537038875604,0.00010588088538266464
0.7844827586206896,0.6379374921969287,0.7931034482758621,35,39,13,1.0,1.0,0.8942528735632184,0.8716800733114314,True,random_weights,dirichlet_03,0.5326606223299724,0.01701853279858106,0.25103731432744664,0.199283530544
0.7212643678160919,0.5603714363856582,0.735632183908046,39,26,22,0.9885057471264368,0.9892446430048812,0.7632183908045975,0.7076230066216808,True,random_weights,dirichlet_04,0.5939582519363663,0.06675342335601325,0.05790999541693114,0.28137832929068934
0.5689655172413793,0.2257030971876114,0.5402298850574713,54,24,9,1.0,1.0,0.8804597701149426,0.8482027069874907,True,random_weights,dirichlet_05,0.018716578887698416,0.06844979504810561,0.5210701694904888,0.3917634565737072
