accuracy,macro_p,macro_r,macro_f1,weighted_f1,f1_c0,f1_c1,f1_c2,recall_c2,model,balanced,label,run
0.9770114942528736,0.9838772338772338,0.9247863247863247,0.9505845367914333,0.9764389835733474,0.9885057471264368,0.9743589743589743,0.8888888888888888,0.8,MLP,False,MLP,0
0.9770114942528736,0.9838772338772338,0.9247863247863247,0.9505845367914333,0.9764389835733474,0.9885057471264368,0.9743589743589743,0.8888888888888888,0.8,MLP,False,MLP,1
0.9770114942528736,0.9838772338772338,0.9247863247863247,0.9505845367914333,0.9764389835733474,0.9885057471264368,0.9743589743589743,0.8888888888888888,0.8,MLP,False,MLP,2
0.9770114942528736,0.9838772338772338,0.9247863247863247,0.9505845367914333,0.9764389835733474,0.9885057471264368,0.9743589743589743,0.8888888888888888,0.8,MLP,False,MLP,3
0.9770114942528736,0.9838772338772338,0.9247863247863247,0.9505845367914333,0.9764389835733474,0.9885057471264368,0.9743589743589743,0.8888888888888888,0.8,MLP,False,MLP,4
0.9770114942528736,0.9838772338772338,0.9247863247863247,0.9505845367914333,0.9764389835733474,0.9885057471264368,0.9743589743589743,0.8888888888888888,0.8,MLP,False,MLP,5
0.9770114942528736,0.9838772338772338,0.9247863247863247,0.9505845367914333,0.9764389835733474,0.9885057471264368,0.9743589743589743,0.8888888888888888,0.8,MLP,False,MLP,6
0.9770114942528736,0.9838772338772338,0.9247863247863247,0.9505845367914333,0.9764389835733474,0.9885057471264368,0.9743589743589743,0.8888888888888888,0.8,MLP,False,MLP,7
0.9770114942528736,0.9838772338772338,0.9247863247863247,0.9505845367914333,0.9764389835733474,0.9885057471264368,0.9743589743589743,0.8888888888888888,0.8,MLP,False,MLP,8
0.9770114942528736,0.9838772338772338,0.9247863247863247,0.9505845367914333,0.9764389835733474,0.9885057471264368,0.9743589743589743,0.8888888888888888,0.8,MLP,False,MLP,9
0.9770114942528736,0.9838772338772338,0.9247863247863247,0.9505845367914333,0.9764389835733474,0.9885057471264368,0.9743589743589743,0.8888888888888888,0.8,MLP,False,MLP,10
0.9770114942528736,0.9838772338772338,0.9247863247863247,0.9505845367914333,0.9764389835733474,0.9885057471264368,0.9743589743589743,0.8888888888888888,0.8,MLP,False,MLP,11
0.9770114942528736,0.9838772338772338,0.9247863247863247,0.9505845367914333,0.9764389835733474,0.9885057471264368,0.9743589743589743,0.8888888888888888,0.8,MLP,False,MLP,12
0.9770114942528736,0.9838772338772338,0.9247863247863247,0.9505845367914333,0.9764389835733474,0.9885057471264368,0.9743589743589743,0.8888888888888888,0.8,MLP,False,MLP,13
0.9770114942528736,0.9838772338772338,0.9247863247863247,0.9505845367914333,0.9764389835733474,0.9885057471264368,0.9743589743589743,0.8888888888888888,0.8,MLP,False,MLP,14
0.9770114942528736,0.9838772338772338,0.9247863247863247,0.9505845367914333,0.9764389835733474,0.9885057471264368,0.9743589743589743,0.8888888888888888,0.8,MLP,False,MLP,15
0.9770114942528736,0.9838772338772338,0.9247863247863247,0.9505845367914333,0.9764389835733474,0.9885057471264368,0.9743589743589743,0.8888888888888888,0.8,MLP,False,MLP,16
0.9770114942528736,0.9838772338772338,0.9247863247863247,0.9505845367914333,0.9764389835733474,0.9885057471264368,0.9743589743589743,0.8888888888888888,0.8,MLP,False,MLP,17
0.9770114942528736,0.9838772338772338,0.9247863247863247,0.9505845367914333,0.9764389835733474,0.9885057471264368,0.9743589743589743,0.8888888888888888,0.8,MLP,False,MLP,18
0.9770114942528736,0.9838772338772338,0.9247863247863247,0.9505845367914333,0.9764389835733474,0.9885057471264368,0.9743589743589743,0.8888888888888888,0.8,MLP,False,MLP,19
0.9770114942528736,0.9838772338772338,0.9247863247863247,0.9505845367914333,0.9764389835733474,0.9885057471264368,0.9743589743589743,0.8888888888888888,0.8,MLP,False,MLP,20
0.9770114942528736,0.9838772338772338,0.9247863247863247,0.9505845367914333,0.9764389835733474,0.9885057471264368,0.9743589743589743,0.8888888888888888,0.8,MLP,False,MLP,21
0.9770114942528736,0.9838772338772338,0.9247863247863247,0.9505845367914333,0.9764389835733474,0.9885057471264368,0.9743589743589743,0.8888888888888888,0.8,MLP,False,MLP,22
0.9770114942528736,0.9838772338772338,0.9247863247863247,0.9505845367914333,0.9764389835733474,0.9885057471264368,0.9743589743589743,0.8888888888888888,0.8,MLP,False,MLP,23
0.9770114942528736,0.9838772338772338,0.9247863247863247,0.9505845367914333,0.9764389835733474,0.9885057471264368,0.9743589743589743,0.8888888888888888,0.8,MLP,False,MLP,24
0.9770114942528736,0.9838772338772338,0.9247863247863247,0.9505845367914333,0.9764389835733474,0.9885057471264368,0.9743589743589743,0.8888888888888888,0.8,MLP,False,MLP,25
0.9770114942528736,0.9838772338772338,0.9247863247863247,0.9505845367914333,0.9764389835733474,0.9885057471264368,0.9743589743589743,0.8888888888888888,0.8,MLP,False,MLP,26
0.9770114942528736,0.9838772338772338,0.9247863247863247,0.9505845367914333,0.9764389835733474,0.9885057471264368,0.9743589743589743,0.8888888888888888,0.8,MLP,False,MLP,27
0.9770114942528736,0.9838772338772338,0.9247863247863247,0.9505845367914333,0.9764389835733474,0.9885057471264368,0.9743589743589743,0.8888888888888888,0.8,MLP,False,MLP,28
0.9770114942528736,0.9838772338772338,0.9247863247863247,0.9505845367914333,0.9764389835733474,0.9885057471264368,0.9743589743589743,0.8888888888888888,0.8,MLP,False,MLP,29
0.9770114942528736,0.9838772338772338,0.9247863247863247,0.9505845367914333,0.9764389835733474,0.9885057471264368,0.9743589743589743,0.8888888888888888,0.8,MLP,True,MLP + balanced,0
0.9885057471264368,0.9924242424242425,0.9914529914529915,0.9918395780464747,0.988497168045325,0.9885057471264368,0.987012987012987,1.0,1.0,MLP,True,MLP + balanced,1
0.9885057471264368,0.9924242424242425,0.9914529914529915,0.9918395780464747,0.988497168045325,0.9885057471264368,0.987012987012987,1.0,1.0,MLP,True,MLP + balanced,2
0.9885057471264368,0.9924242424242425,0.9914529914529915,0.9918395780464747,0.988497168045325,0.9885057471264368,0.987012987012987,1.0,1.0,MLP,True,MLP + balanced,3
0.9885057471264368,0.9924242424242425,0.9914529914529915,0.9918395780464747,0.988497168045325,0.9885057471264368,0.987012987012987,1.0,1.0,MLP,True,MLP + balanced,4
0.9885057471264368,0.9924242424242425,0.9914529914529915,0.9918395780464747,0.988497168045325,0.9885057471264368,0.987012987012987,1.0,1.0,MLP,True,MLP + balanced,5
0.9885057471264368,0.9924242424242425,0.9914529914529915,0.9918395780464747,0.988497168045325,0.9885057471264368,0.987012987012987,1.0,1.0,MLP,True,MLP + balanced,6
0.9885057471264368,0.9924242424242425,0.9914529914529915,0.9918395780464747,0.988497168045325,0.9885057471264368,0.987012987012987,1.0,1.0,MLP,True,MLP + balanced,7
0.9885057471264368,0.9924242424242425,0.9914529914529915,0.9918395780464747,0.988497168045325,0.9885057471264368,0.987012987012987,1.0,1.0,MLP,True,MLP + balanced,8
0.9885057471264368,0.9924242424242425,0.9914529914529915,0.9918395780464747,0.988497168045325,0.9885057471264368,0.987012987012987,1.0,1.0,MLP,True,MLP + balanced,9
0.9885057471264368,0.9924242424242425,0.9914529914529915,0.9918395780464747,0.988497168045325,0.9885057471264368,0.987012987012987,1.0,1.0,MLP,True,MLP + balanced,10
0.9885057471264368,0.9924242424242425,0.9914529914529915,0.9918395780464747,0.988497168045325,0.9885057471264368,0.987012987012987,1.0,1.0,MLP,True,MLP + balanced,11
