accuracy,macro_p,macro_r,macro_f1,weighted_f1,f1_c0,f1_c1,f1_c2,recall_c2,model,run
0.9195402298850575,0.9464153732446415,0.768197177499503,0.8131573914706444,0.9140272090002044,0.9523809523809523,0.9156626506024096,0.5714285714285714,0.4,GCN (original),0
0.9080459770114943,0.8333333333333334,0.7596501689524945,0.7849189058339384,0.9034507800565946,0.9411764705882353,0.9135802469135802,0.5,0.4,GCN (original),1
0.9195402298850575,0.8419991176655953,0.768197177499503,0.7930700735578785,0.9149278438597193,0.9523809523809523,0.926829268292683,0.5,0.4,GCN (original),2
0.9195402298850575,0.8419991176655953,0.768197177499503,0.7930700735578785,0.9149278438597193,0.9523809523809523,0.926829268292683,0.5,0.4,GCN (original),3
0.9080459770114943,0.9376153562200074,0.7596501689524945,0.8050146888023502,0.9025615292374308,0.9411764705882353,0.9024390243902439,0.5714285714285714,0.4,GCN (original),4
0.9080459770114943,0.7797487065779749,0.7015305108328365,0.7179192962325492,0.897606847752257,0.9523809523809523,0.9156626506024096,0.2857142857142857,0.2,GCN (original),5
0.9195402298850575,0.9464153732446415,0.768197177499503,0.8131573914706444,0.9140272090002044,0.9523809523809523,0.9156626506024096,0.5714285714285714,0.4,GCN (original),6
0.9195402298850575,0.8419991176655953,0.768197177499503,0.7930700735578785,0.9149278438597193,0.9523809523809523,0.926829268292683,0.5,0.4,GCN (original),7
0.9310344827586207,0.8497510556500912,0.7767441860465115,0.8012001548586914,0.9258614014711575,0.9523809523809523,0.9512195121951219,0.5,0.4,GCN (original),8
0.9195402298850575,0.8419991176655953,0.768197177499503,0.7930700735578785,0.9149278438597193,0.9523809523809523,0.926829268292683,0.5,0.4,GCN (original),9
0.9195402298850575,0.8412698412698413,0.768197177499503,0.7931493585088356,0.9145193198607666,0.9411764705882353,0.9382716049382716,0.5,0.4,GCN (original),10
0.9310344827586207,0.8510101010101009,0.7767441860465115,0.8012048192771085,0.9263952361168813,0.963855421686747,0.9397590361445783,0.5,0.4,GCN (original),11
0.9310344827586207,0.8510101010101009,0.7767441860465115,0.8012048192771085,0.9263952361168813,0.963855421686747,0.9397590361445783,0.5,0.4,GCN (original),12
